cmId	name	matchCount	firstDate	lastDate
471	Gene Kiniski	25	1965-04-30	1967-12-08
943	The Sheik	25	1969-12-26	1978-08-12
6557	Bounty Hunter II	24	1976-05-01	1977-03-05
1945	Pat O'Connor	23	1964-05-15	1980-07-19
3327	The Beast	23	1972-09-16	1974-01-26
12629	Cowboy Parker	23	1973-08-04	1974-05-05
15958	Mr. Kleen	23	1969-03-15	1970-05-26
20750	Max Blue	23	1974-11-16	1985-11-09
351	The Fabulous Kangaroos	22	1969-11-08	1974-03-23
786	Bruiser Brody	22	1979-04-01	1980-11-01
1564	Johnny Valentine	22	1964-05-15	1967-10-13
6763	Stan Kowalski	22	1968-03-22	1974-05-10
8467	Jim Alexi	22	1971-07-31	1977-05-28
18113	Tom Demarco	22	1971-11-26	1979-10-07
225	The Chain Gang	21	1968-10-12	1969-08-29
14353	The Great Saki	20	1973-07-21	1974-03-01
1490	The Bounty Hunters	19	1976-05-01	1977-03-05
16760	Princess Jasmine	19	1972-03-18	1983-06-25
18120	The Mongol	19	1964-04-25	1967-04-08
19775	Mike Snyder	19	1974-01-25	1977-12-26
5870	JR Hogg	18	1982-01-16	1985-01-19
7998	Great Wojo	18	1981-04-25	1986-06-22
8100	Bobby Colt	18	1982-12-30	1985-11-09
27444	Jim Kent	18	1976-05-01	1977-03-05
326	Sgt. Jacques Goulet	17	1974-07-20	1975-12-26
5978	The Graduates	17	1972-02-26	1972-09-16
7369	Joe Brunetti	17	1964-04-25	1966-04-23
15670	Bob Sabre	17	1964-09-04	1978-02-04
16099	Mary Jane Mull	17	1966-02-08	1973-09-22
243	Bruno Sammartino	16	1973-04-14	1978-02-04
4320	Dan Miller	16	1964-04-25	1972-02-05
10574	Jim Grabmire	16	1964-07-03	1980-09-06
20644	Duke George	16	1975-01-25	1978-01-13
381	Higo Hamaguchi	15	1972-10-06	1973-05-12
3051	Boris Volkoff	15	1964-12-25	1969-07-25
2276	Jim Lancaster	14	1975-02-14	1985-11-09
5939	Tiny Hampton	14	1964-09-26	1983-09-17
7627	Bull Bullinski	14	1973-05-12	1973-12-27
22750	Tony Romano	14	1974-01-05	1974-09-21
30611	Billy Jack Mann	14	1968-08-24	1972-04-08
1523	The Devil's Duo	13	1966-10-08	1967-07-15
2208	The Destroyer	13	1966-06-11	1968-03-01
6788	Dutch Savage	13	1977-05-26	1981-05-05
1418	Dominic DeNucci	12	1976-06-12	1978-08-12
310	Big John Studd	11	1975-06-11	1981-09-19
3135	Mighty Igor	11	1970-11-07	1974-11-29
3324	John Ruffin	11	1975-09-20	1984-02-18
4268	Kim Duk	11	1974-03-01	1975-01-25
20692	Leroy Redbone	11	1983-02-12	1984-02-18
3241	Sam Menacker	10	1973-08-18	1976-12-27
12594	Black Bart	10	1965-01-23	1968-04-07
17856	Mike Kelly	10	1981-06-13	1982-01-16
18037	Rodeo Jones	10	1970-04-04	1977-08-27
513	The Kelly Twins	9	1981-06-13	1982-01-16
1325	Edouard Carpentier	9	1968-11-28	1969-10-18
3140	Pat Kelly	9	1981-06-13	1982-01-16
8976	The Patriot	9	1981-09-19	1985-11-09
11006	Joe Blanchard	9	1964-05-29	1974-11-29
15092	Tanya West	9	1973-09-22	1974-05-05
1280	Lord Littlebrook	8	1965-01-22	1968-11-02
1520	The Legionnaires	8	1974-09-21	1975-04-15
5308	Steve Stanlee	8	1966-02-19	1967-06-10
5574	The Volkoff Brothers	8	1964-12-25	1969-04-15
6918	Hans Schmidt	8	1964-11-07	1971-08-21
7039	Annihilation Inc.	8	1973-08-04	1974-02-07
7345	Ivan Kalmikoff	8	1970-12-26	1971-05-14
20850	Rocky Montero	8	1965-01-22	1974-04-19
926	Andre The Giant	7	1971-12-27	1976-06-12
930	Lou Thesz	7	1965-07-17	1975-06-11
1303	Bill Watts	7	1968-03-22	1969-01-04
1519	The Legionnaires	7	1975-04-19	1975-12-26
3242	Killer Karl Krupp	7	1976-02-21	1976-07-31
6311	Reggie Parks	7	1967-03-18	1967-12-08
15100	Juan Zapata	7	1975-09-20	1985-01-19
15220	Victor The Wrestling Bear	7	1972-12-29	1984-02-18
15404	Donna Lemke	7	1971-11-06	1972-04-08
30803	Rooster Griffin	7	1983-06-25	1984-01-07
686	Fritz von Erich	6	1966-01-15	1966-04-23
1263	Nick Bockwinkel	6	1976-05-01	1980-09-06
2073	Tom Jones	6	1965-06-25	1966-10-08
4389	Killer Verdu	6	1977-12-26	1978-03-23
4989	The Professional	6	1967-06-24	1972-03-09
6805	Frank Hickey	6	1965-10-21	1971-10-14
23953	Sharon Lass	6	1966-05-27	1968-02-17
31157	Wee Willie Wilson	6	1969-04-12	1980-08-22
1269	Johnny King	5	1964-03-26	1964-11-07
1287	Bobby Graham	5	1964-05-29	1966-11-24
1712	The Volkoff Brothers	5	1965-01-22	1968-05-04
1812	The Mongolian Stomper	5	1972-12-26	1973-01-11
1950	Mad Dog Vachon	5	1966-01-15	1971-11-26
1982	The Cuban Assassin	5	1979-06-09	1979-08-04
1998	Les Thatcher	5	1964-07-03	1966-08-06
2600	The Miller Brothers	5	1964-04-25	1972-02-05
2776	Frank Hill	5	1976-10-23	1977-04-30
4601	Sara Lee	5	1970-08-22	1971-11-06
6773	Bobby Harmon	5	1968-03-01	1983-09-17
9845	Frenchy Lamont	5	1964-05-29	1973-07-21
27003	Lucille Dupree	5	1966-02-08	1980-05-31
33086	Vito Martino	5	1976-10-23	1977-04-30
33625	Rita Crawford	5	1965-10-02	1966-10-08
104	Johnny Fargo	4	1971-02-21	1971-05-25
524	Jose Gonzales	4	1968-10-12	1978-03-04
2575	Cowboy Lang	4	1968-07-26	1969-04-12
3113	Billy Goelz	4	1964-04-25	1973-02-24
4211	Sonny Rogers	4	1983-02-12	1985-11-09
5401	Billy The Kid	4	1964-06-19	1973-05-12
6073	Lorenzo Parente	4	1964-04-25	1964-09-04
6772	The Wolfman	4	1972-09-16	1972-12-29
7027	Yugo Babich	4	1975-03-01	1975-04-19
7957	Chris Carter	4	1984-02-18	1986-06-22
8622	Little Brutus	4	1964-08-15	1969-04-12
8938	Madame X	4	1965-03-12	1977-08-06
9320	Johnny Powers	4	1967-11-04	1968-02-17
9423	Rachel Dubois	4	1973-02-17	1973-04-14
11438	Ray Gordon	4	1964-04-25	1965-12-25
15142	Sandy Partlow	4	1976-06-12	1980-09-06
29404	Chico Garcia	4	1971-03-27	1973-12-08
33489	Venus LaRue	4	1971-11-29	1971-12-29
283	Dutch Mantell	3	1982-11-25	1982-11-27
341	Harley Race	3	1982-04-24	1982-06-05
390	Kurt von Brauner	3	1964-11-07	1965-04-30
522	Crusher Broomfield	3	1982-11-25	1982-11-27
863	Jacques Rougeau	3	1982-11-25	1982-11-27
929	Pedro Morales	3	1977-07-25	1977-07-27
1058	Terry Taylor	3	1982-11-25	1982-11-27
1355	Eddie Creatchman	3	1974-09-21	1976-12-27
1518	The New York Dolls	3	1982-11-25	1982-11-27
1563	Rufus R. Jones	3	1982-04-24	1982-06-05
2831	The Von Brauners	3	1964-11-07	1965-04-30
2944	The Dream Machine	3	1982-11-25	1982-11-27
3245	George Cannon	3	1971-02-21	1971-06-18
3323	Rick McGraw	3	1982-11-25	1982-11-27
4026	Debbie Combs	3	1975-12-13	1981-10-11
4600	Corsica Joe	3	1966-03-18	1970-08-22
4833	Johnny Starr	3	1974-11-16	1975-01-25
6194	Bob Stanlee	3	1964-08-15	1964-09-26
6269	The Angel	3	1982-11-25	1982-11-27
6658	Lou Klein	3	1976-12-27	1977-02-12
7300	Karl von Brauner	3	1964-11-07	1965-04-30
7303	Jeff Van Camp	3	1984-01-07	1984-02-18
