Filename,Publication,Issue,Publication Date,Date Added to Catalog,What's on the Cover,Folder Path
Wrestling's Main Event - 1985 - January.pdf,Wrestling's Main Event,January 1985,1985-01-01,2026-04-26,,1980s/1985/Wrestling's Main Event
Wrestling's Main Event - 1985 - July.pdf,Wrestling's Main Event,July 1985,1985-07-01,2026-04-26,,1980s/1985/Wrestling's Main Event
Wrestling's Main Event - 1985 - June.pdf,Wrestling's Main Event,June 1985,1985-06-01,2026-04-26,,1980s/1985/Wrestling's Main Event
Wrestling's Main Event - 1985 - May.pdf,Wrestling's Main Event,May 1985,1985-05-01,2026-04-26,,1980s/1985/Wrestling's Main Event
Wrestling's Main Event - 1985 - November.pdf,Wrestling's Main Event,November 1985,1985-11-01,2026-04-26,,1980s/1985/Wrestling's Main Event
Wrestling's Main Event - 1985 - October.pdf,Wrestling's Main Event,October 1985,1985-10-01,2026-04-26,,1980s/1985/Wrestling's Main Event
Championship Wrestling - 1986 - August.pdf,Championship Wrestling,August 1986,1986-08-01,2026-04-26,,1980s/1986/Championship Wrestling
Championship Wrestling - 1986 - February.pdf,Championship Wrestling,February 1986,1986-02-01,2026-04-26,,1980s/1986/Championship Wrestling
Championship Wrestling - 1986 - May.pdf,Championship Wrestling,May 1986,1986-05-01,2026-04-26,,1980s/1986/Championship Wrestling
Championship Wrestling - 1986 - November.pdf,Championship Wrestling,November 1986,1986-11-01,2026-04-26,,1980s/1986/Championship Wrestling
Inside Wrestling - 1986 - April.pdf,Inside Wrestling,April 1986,1986-04-01,2026-04-26,,1980s/1986/Inside Wrestling
Inside Wrestling - 1986 - December.pdf,Inside Wrestling,December 1986,1986-12-01,2026-04-26,,1980s/1986/Inside Wrestling
Inside Wrestling - 1986 - February.pdf,Inside Wrestling,February 1986,1986-02-01,2026-04-26,,1980s/1986/Inside Wrestling
Inside Wrestling - 1986 - January.pdf,Inside Wrestling,January 1986,1986-01-01,2026-04-26,,1980s/1986/Inside Wrestling
Inside Wrestling - 1986 - July.pdf,Inside Wrestling,July 1986,1986-07-01,2026-04-26,,1980s/1986/Inside Wrestling
Inside Wrestling - 1986 - May.pdf,Inside Wrestling,May 1986,1986-05-01,2026-04-26,,1980s/1986/Inside Wrestling
Inside Wrestling - 1986 - November.pdf,Inside Wrestling,November 1986,1986-11-01,2026-04-26,,1980s/1986/Inside Wrestling
Inside Wrestling - 1986 - October.pdf,Inside Wrestling,October 1986,1986-10-01,2026-04-26,,1980s/1986/Inside Wrestling
Pro Wrestling Illustrated - 1986 - February.pdf,Pro Wrestling Illustrated,February 1986,1986-02-01,2026-04-26,,1980s/1986/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1986 - July.pdf,Pro Wrestling Illustrated,July 1986,1986-07-01,2026-04-26,,1980s/1986/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1986 - March.pdf,Pro Wrestling Illustrated,March 1986,1986-03-01,2026-04-26,,1980s/1986/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1986 - May.pdf,Pro Wrestling Illustrated,May 1986,1986-05-01,2026-04-26,,1980s/1986/Pro Wrestling Illustrated
Ringside Wrestling - 1986 - March.pdf,Ringside Wrestling,March 1986,1986-03-01,2026-04-26,,1980s/1986/Ringside Wrestling
Sports Review Wrestling - 1986 - April.pdf,Sports Review Wrestling,April 1986,1986-04-01,2026-04-26,,1980s/1986/Sports Review Wrestling
Sports Review Wrestling - 1986 - August.pdf,Sports Review Wrestling,August 1986,1986-08-01,2026-04-26,,1980s/1986/Sports Review Wrestling
Sports Review Wrestling - 1986 - February.pdf,Sports Review Wrestling,February 1986,1986-02-01,2026-04-26,,1980s/1986/Sports Review Wrestling
Sports Review Wrestling - 1986 - January.pdf,Sports Review Wrestling,January 1986,1986-01-01,2026-04-26,,1980s/1986/Sports Review Wrestling
Sports Review Wrestling - 1986 - July.pdf,Sports Review Wrestling,July 1986,1986-07-01,2026-04-26,,1980s/1986/Sports Review Wrestling
Sports Review Wrestling - 1986 - June.pdf,Sports Review Wrestling,June 1986,1986-06-01,2026-04-26,,1980s/1986/Sports Review Wrestling
Sports Review Wrestling - 1986 - May.pdf,Sports Review Wrestling,May 1986,1986-05-01,2026-04-26,,1980s/1986/Sports Review Wrestling
Sports Review Wrestling - 1986 - September.pdf,Sports Review Wrestling,September 1986,1986-09-01,2026-04-26,,1980s/1986/Sports Review Wrestling
The Wrestler - 1986 - August.pdf,The Wrestler,August 1986,1986-08-01,2026-04-26,,1980s/1986/The Wrestler
The Wrestler - 1986 - December.pdf,The Wrestler,December 1986,1986-12-01,2026-04-26,,1980s/1986/The Wrestler
The Wrestler - 1986 - January.pdf,The Wrestler,January 1986,1986-01-01,2026-04-26,,1980s/1986/The Wrestler
The Wrestler - 1986 - July.pdf,The Wrestler,July 1986,1986-07-01,2026-04-26,,1980s/1986/The Wrestler
The Wrestler - 1986 - June.pdf,The Wrestler,June 1986,1986-06-01,2026-04-26,,1980s/1986/The Wrestler
The Wrestler - 1986 - May.pdf,The Wrestler,May 1986,1986-05-01,2026-04-26,,1980s/1986/The Wrestler
The Wrestler - 1986 - November.pdf,The Wrestler,November 1986,1986-11-01,2026-04-26,,1980s/1986/The Wrestler
The Wrestler - 1986 - October.pdf,The Wrestler,October 1986,1986-10-01,2026-04-26,,1980s/1986/The Wrestler
The Wrestler - 1986 - September.pdf,The Wrestler,September 1986,1986-09-01,2026-04-26,,1980s/1986/The Wrestler
WWF Magazine - 1986 - August.pdf,WWF Magazine,August 1986,1986-08-01,2026-04-26,,1980s/1986/WWF Magazine
WWF Magazine - 1986 - December.pdf,WWF Magazine,December 1986,1986-12-01,2026-04-26,,1980s/1986/WWF Magazine
Wrestling - 1986 - Fall.pdf,Wrestling,Fall 1986,1986 (Fall),2026-04-26,,1980s/1986/Wrestling
Wrestling All Stars - 1986 - July.pdf,Wrestling All Stars,July 1986,1986-07-01,2026-04-26,,1980s/1986/Wrestling All Stars
Wrestling Eye - 1986 - August.pdf,Wrestling Eye,August 1986,1986-08-01,2026-04-26,,1980s/1986/Wrestling Eye
