publication_date	list_label	scope	rank	entry_name	issue_url
1984-02-01	Mid-Atlantic	territory	1	Greg Valentine	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-Atlantic	territory	3	Roddy Piper	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-Atlantic	territory	5	Ric Flair	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-Atlantic	territory	6	Dick Slater	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-Atlantic	territory	7	The Great Kabuki	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-Atlantic	territory	8	Charlie Brown	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-Atlantic	territory	9	Bugsy McGraw	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-Atlantic	territory	10	Kevin Sullivan	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	1	Butch Reed	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	2	Jim Duggan	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	3	Junkyard Dog	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	4	King Kong Bundy	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	5	Kamala	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	7	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	8	Terry Allen	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	9	Boris Zhukov	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Mid-South	territory	10	Johnny Rich	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Northwest	territory	1	Dynamite Kid	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Northwest	territory	2	Curt Hennig	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Northwest	territory	4	Rip Oliver	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Northwest	territory	5	Billy Jack	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Northwest	territory	7	Al Madril	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Northwest	territory	8	Matt Borne	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Northwest	territory	10	Ron Ritchie	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	1	Adrian Adonis	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	2	Scott Casey	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	3	Tully Blanchard	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	4	Eric Embry	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	5	Bobby Jaggers	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	6	Ken Timbs	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	7	Adrian Street	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	8	Luke Williams	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	9	Al Perez	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	Southwest	territory	10	Black Gordman	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	World Class	territory	1	Jim Garvin	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	World Class	territory	2	David Von Erich	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	World Class	territory	3	Kevin Von Erich	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	World Class	territory	4	Michael Hayes	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	World Class	territory	5	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	World Class	territory	6	Kamala	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	World Class	territory	9	Terry Gordy	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-02-01	World Class	territory	10	Chris Adams	http://www.profightdb.com/pwi-monthly/february-1984-276.html
1984-03-01	Top 10	singles	3	Hulk Hogan	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Top 10	singles	5	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Top 10	singles	6	Barry Windham	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Top 10	singles	7	David Von Erich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Top 10	singles	8	Bob Backlund	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Top 10	singles	9	Mil Mascaras	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Top 10	singles	10	Greg Valentine	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	1	Jimmy Snuka	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	2	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	4	Junkyard Dog	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	5	Hulk Hogan	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	6	David Von Erich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	7	Tommy Rich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	8	Barry Windham	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	9	Bob Backlund	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Popular	most_popular	10	Mike Rotundo	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	1	Greg Valentine	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	2	Abdullah The Butcher	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	3	Jake Roberts	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	4	Butch Reed	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	5	Mr. Saito	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	6	Ted DiBiase	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	7	Ron Bass	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	8	The Magnificent Muraco	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	9	Kevin Sullivan	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Most Hated	most_hated	10	Michael Hayes	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	WWF	promotion	1	The Masked Superstar	http://www.profightdb.com/pwi-monthly/march-1984-277.html
